timestamp,date,time,_id,sensor,Temperature,Occupancy,Light Level,Relative Humidity,Noise Level,Pressure
1.47E+12,03/09/2016,10:53:20,0630a4971b646efb90f763b8c74c7dc9,H004LE,23.2,Unoccupied,0.04,47.3,56,1008.284986
1.47E+12,03/09/2016,10:53:20,0630a4971b646efb90f763b8c772559e,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,03/09/2016,10:53:20,0630a4971b646efb90f763b8c77268da,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
1.47E+12,03/09/2016,10:53:20,0630a4971b646efb90f763b8c781d58b,H004LE,23.2,Unoccupied,0.04,47.3,56,1008.284986
1.47E+12,03/09/2016,10:53:20,0630a4971b646efb90f763b8c7918b30,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,03/09/2016,10:53:20,0630a4971b646efb90f763b8c7f7bef3,H013LE,20.3,Unoccupied,0.07,49.4,35,1017.857825
1.47E+12,03/09/2016,10:53:20,0630a4971b646efb90f763b8c7f7df22,H019LN,19.4,Unoccupied,0,53,35,1019.469267
1.47E+12,03/09/2016,16:26:40,068c391360ab405561e469fe89079bca,H019LN,19.4,Unoccupied,0,53,35,1019.469267
1.47E+12,03/09/2016,16:26:40,068c391360ab405561e469fe8907a9ec,H019LS,21.2,Unoccupied,0.01,64.2,35,1017.35771
1.47E+12,03/09/2016,16:26:40,068c391360ab405561e469fe891ac22e,H002LNW,21.7,Unoccupied,0.06,25.6,35,1008.538411
1.47E+12,03/09/2016,16:26:40,068c391360ab405561e469fe891aeb26,H013LE,20.8,Unoccupied,0,50.5,35,1004.602211
1.47E+12,03/09/2016,16:26:40,068c391360ab405561e469fe891b18a7,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,03/09/2016,16:26:40,068c391360ab405561e469fe8939f294,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,03/09/2016,16:26:40,068c391360ab405561e469fe8977ef3d,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
1.47E+12,03/09/2016,16:26:40,068c391360ab405561e469fe898cdb57,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
1.47E+12,03/09/2016,16:26:40,068c391360ab405561e469fe89db557e,H013LE,20.9,Unoccupied,0,50.9,35,1003.886195
1.47E+12,03/09/2016,16:26:40,068c391360ab405561e469fe89fb49d5,H002LNW,21.7,Unoccupied,0.06,25.6,35,1008.538411
1.47E+12,03/09/2016,19:13:20,00c2cca501209b45a9d4d61745096841,H013LE,21,Unoccupied,0,52.5,35,1002.86791
1.47E+12,03/09/2016,19:13:20,00c2cca501209b45a9d4d617453af5ac,H008LNW,21,Unoccupied,0,51,35,1008.511131
1.47E+12,03/09/2016,19:13:20,00c2cca501209b45a9d4d617455228a0,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
1.47E+12,03/09/2016,19:13:20,00c2cca501209b45a9d4d617457162e9,H013LE,21,Unoccupied,0,52.5,35,1002.767138
1.47E+12,03/09/2016,19:13:20,00c2cca501209b45a9d4d61745844813,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
1.47E+12,03/09/2016,19:13:20,00c2cca501209b45a9d4d6174596a6f4,H008LNW,21,Unoccupied,0,51,35,1008.511131
1.47E+12,03/09/2016,19:13:20,00c2cca501209b45a9d4d61745dc659b,H002LNW,21.7,Unoccupied,0.06,25.6,35,1008.538411
1.47E+12,03/09/2016,19:13:20,00c2cca501209b45a9d4d61745dc8602,H004LSW,23.4,Unoccupied,0.01,50.1,56,1011.388242
1.47E+12,03/09/2016,19:13:20,00c2cca501209b45a9d4d61745ec4531,H002LNW,21.7,Unoccupied,0.06,25.6,35,1008.538411
1.47E+12,04/09/2016,06:20:00,0a16b71f0f1bbfed6030d8aa750ad99d,H013LE,20.7,Unoccupied,0.04,52.3,35,1002.395794
1.47E+12,04/09/2016,09:06:40,0a16b71f0f1bbfed6030d8aa7540e689,H019LN,20.8,Unoccupied,0,53,35,1001.881313
1.47E+12,04/09/2016,09:06:40,0a16b71f0f1bbfed6030d8aa75527a4a,H019LN,20.8,Unoccupied,0,53,35,1001.881313
1.47E+12,04/09/2016,09:06:40,0a16b71f0f1bbfed6030d8aa75ac5e29,H002LNW,20.7,Unoccupied,0.06,25.6,35,1013.279507
1.47E+12,04/09/2016,09:06:40,0a16b71f0f1bbfed6030d8aa75bd873d,H019LS,20.9,Unoccupied,0.01,64.2,35,1017.389764
1.47E+12,04/09/2016,09:06:40,0a16b71f0f1bbfed6030d8aa75e16bd0,H004LE,23.1,Unoccupied,0.02,48.6,56,999.7312767
1.47E+12,04/09/2016,09:06:40,0a16b71f0f1bbfed6030d8aa75e19289,H019LN,20.8,Unoccupied,0,53,35,1001.881313
1.47E+12,04/09/2016,09:06:40,0a16b71f0f1bbfed6030d8aa75f3df47,H008LNW,21,Unoccupied,0,51,35,1008.511131
1.47E+12,04/09/2016,11:53:20,06653cf5686a739ea90abbf79440f32c,H008LNW,21,Unoccupied,0,51,35,1008.511131
1.47E+12,04/09/2016,11:53:20,06653cf5686a739ea90abbf79451c02a,H002LNW,20.7,Unoccupied,0.06,25.6,35,1013.279507
1.47E+12,04/09/2016,11:53:20,06653cf5686a739ea90abbf7946dcbe5,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,04/09/2016,11:53:20,06653cf5686a739ea90abbf79494d54e,H008LNW,21,Unoccupied,0,51,35,1008.511131
1.47E+12,04/09/2016,11:53:20,06653cf5686a739ea90abbf794951a17,H019LS,21,Unoccupied,0.01,64.2,35,1017.379049
1.47E+12,04/09/2016,11:53:20,06653cf5686a739ea90abbf794a57650,H019LS,21,Unoccupied,0.01,64.2,35,1017.379049
1.47E+12,04/09/2016,11:53:20,06653cf5686a739ea90abbf794d4b924,H013LE,20.9,Unoccupied,0.08,51.9,35,1004.289287
1.47E+12,04/09/2016,11:53:20,06653cf5686a739ea90abbf794e79b66,H019LS,21,Unoccupied,0.01,64.2,35,1017.379049
1.47E+12,04/09/2016,11:53:20,06653cf5686a739ea90abbf794fa33f8,H019LS,21,Unoccupied,0.01,64.2,35,1017.379049
1.47E+12,04/09/2016,11:53:20,0ae768cbe94cf5e7d76b81958d068e9c,H004LSW,22.1,Unoccupied,0.01,52.7,56,1000.940079
1.47E+12,04/09/2016,11:53:20,0ae768cbe94cf5e7d76b81958d1f425f,H004LE,23.1,Unoccupied,0.02,48.6,35,999.7312767
1.47E+12,04/09/2016,11:53:20,0ae768cbe94cf5e7d76b81958d3085b9,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,04/09/2016,11:53:20,0ae768cbe94cf5e7d76b81958d3fd383,H019LS,21.1,Unoccupied,0.01,64.2,56,1017.379049
1.47E+12,04/09/2016,11:53:20,0ae768cbe94cf5e7d76b81958d4eef6a,H013LE,21,Unoccupied,0.08,51.7,35,1004.782574
1.47E+12,04/09/2016,11:53:20,0ae768cbe94cf5e7d76b81958d4f341c,H019LN,20.8,Unoccupied,0,53,35,1001.881313
1.47E+12,04/09/2016,11:53:20,0ae768cbe94cf5e7d76b81958d703597,H019LN,20.8,Unoccupied,0,53,35,1001.881313
1.47E+12,04/09/2016,14:40:00,089e445ef35077dcce76a3faf00fd17a,H013LE,21.2,Unoccupied,0.08,51.2,35,1005.567667
1.47E+12,04/09/2016,14:40:00,089e445ef35077dcce76a3faf0237b18,H004LE,23.1,Unoccupied,0.02,48.6,56,999.7312767
1.47E+12,04/09/2016,14:40:00,089e445ef35077dcce76a3faf05361bc,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,04/09/2016,14:40:00,089e445ef35077dcce76a3faf0992569,H013LE,21.2,Unoccupied,0.08,51.2,35,1005.970746
1.47E+12,04/09/2016,14:40:00,089e445ef35077dcce76a3faf0cb8f83,H002LNW,20.7,Unoccupied,0.06,25.6,35,1013.279507
1.47E+12,04/09/2016,17:26:40,07df3fc1ad24741981268081bb0c951c,H004LE,23.1,Unoccupied,0.02,48.6,35,999.7312767
1.47E+12,04/09/2016,17:26:40,07df3fc1ad24741981268081bb249ef7,H019LS,21.2,Unoccupied,0.01,64.2,35,1017.35771
1.47E+12,04/09/2016,17:26:40,07df3fc1ad24741981268081bb4d377a,H008LE,22.6,Unoccupied,3.94,39.5,35,1009.050564
1.47E+12,04/09/2016,17:26:40,07df3fc1ad24741981268081bb715afa,H004LE,23.1,Unoccupied,0.02,48.6,35,999.7312767
1.47E+12,04/09/2016,17:26:40,07df3fc1ad24741981268081bb9d3908,H013LE,21.2,Unoccupied,0.02,51.2,35,1006.373824
1.47E+12,04/09/2016,17:26:40,07df3fc1ad24741981268081bbad0743,H013LE,21.2,Unoccupied,0.02,51.2,35,1006.474594
1.47E+12,04/09/2016,17:26:40,07df3fc1ad24741981268081bbd22955,H019LS,21.2,Unoccupied,0.01,64.2,35,1017.35771
1.47E+12,04/09/2016,17:26:40,07df3fc1ad24741981268081bbf31e03,H008LNW,21,Unoccupied,0,51,35,1008.511131
1.47E+12,04/09/2016,17:26:40,089e445ef35077dcce76a3faf0f8f5db,H004LE,23.1,Unoccupied,0.02,48.6,35,999.7312767
1.47E+12,04/09/2016,17:26:40,089e445ef35077dcce76a3faf0f921a4,H019LN,20.8,Unoccupied,0,53,35,1001.881313
1.47E+12,04/09/2016,20:13:20,00b7dfca4998558447c11b46f6202306,H019LN,20.8,Unoccupied,0,53,35,1001.881313
1.47E+12,04/09/2016,20:13:20,00b7dfca4998558447c11b46f653326c,H004LSW,22.1,Unoccupied,0.01,52.7,35,1000.940079
1.47E+12,04/09/2016,20:13:20,00b7dfca4998558447c11b46f663cdce,H013LE,21,Unoccupied,0,50.2,35,1007.190524
1.47E+12,04/09/2016,20:13:20,00b7dfca4998558447c11b46f663dd01,H004LSW,22.1,Unoccupied,0.01,52.7,56,1000.940079
1.47E+12,04/09/2016,20:13:20,00b7dfca4998558447c11b46f674a2ec,H008LNW,21,Unoccupied,0,51,35,1008.511131
1.47E+12,04/09/2016,20:13:20,00b7dfca4998558447c11b46f687f98e,H013LE,21,Unoccupied,0,50.2,35,1007.201097
1.47E+12,04/09/2016,20:13:20,00b7dfca4998558447c11b46f6ae14dc,H002LNW,20.7,Unoccupied,0.06,25.6,35,1013.279507
1.47E+12,04/09/2016,20:13:20,00b7dfca4998558447c11b46f6be1ae2,H013LE,21,Unoccupied,0,50.2,35,1007.503413
1.47E+12,04/09/2016,20:13:20,00b7dfca4998558447c11b46f6be3073,H008LNW,21,Unoccupied,0,51,35,1008.511131
